algorithm,epsilon,status,compression_ratio
svd,0.0001,ok,13.661488717923431
svd,0.0005,ok,13.661488717923431
svd,0.001,ok,13.661419827356063
svd,0.01,ok,16.97818327784882
rsvd,0.0001,ok,13.686885497145084
rsvd,0.0005,ok,13.67946153516108
rsvd,0.001,ok,13.684418624067998
rsvd,0.01,ok,16.354148767900657
tucker,0.0001,ok,41.588182108643096
tucker,0.0005,ok,41.588182108643096
tucker,0.001,ok,41.588182108643096
tucker,0.01,ok,70.68256657971772
sz,0.0001,ok,1.3233442736712222
sz,0.0005,ok,1.3233442736712222
sz,0.001,ok,1.3233442736712222
sz,0.01,ok,1.3233442736712222
zfp,0.0001,ok,1.2775445644318701
zfp,0.0005,ok,1.2775445644318701
zfp,0.001,ok,1.2775445644318701
zfp,0.01,ok,1.2775445644318701
wavelet3d,0.0001,ok,1.3290162621793506
wavelet3d,0.0005,ok,1.3290162621793506
wavelet3d,0.001,ok,1.3290162621793506
wavelet3d,0.01,ok,1.3290162621793506
neural,0.0001,ok,2.9067231837324523
neural,0.0005,ok,2.907054961267514
neural,0.001,ok,2.906609884707233
neural,0.01,ok,2.9067093296913447
